# form	pos	lemma	sense	freq
ཀྱོག་པ			5
ཀྱོག་པོ			75
ཀྱོག་བཤད			8
ཀྱོག་ལམ			
ཀྱོག་ཤད			1
ཀྱོག་ཤིང			
ཀྱོང་ཀྱོང			2
ཀྱོང་ཁ			
ཀྱོང་པོ			1
ཀྱོང་བུ			
ཀྱོང་མོ			
ཀྲང་ཀྲོང			
ཀྲང་ངེ་ཀྲོང་ངེ			
ཀྲད			1
ཀྲད་ཀོར			
ཀྲད་པ			3
ཀྲད་འཁོར			
ཀྲད་རྒྱུན			
ཀྲབ་ཀྲབ			4
ཀྲབ་ཀྲོབ			
ཀྲི་ཁ			
ཀྲི་ག			
ཀྲི་ཡ	NOUN		41
ཀྲིག་ཅར			
ཀྲིག་ཆགས			
ཀྲུ་ཀྲུ			
ཀྲུགས			3
ཀྲུང་ཀྲུང			17
ཀྲུང་ཐང			
ཀྲུབ་ཟན			
ཀྲུམ			8
ཀྲུམ་ཁོག			
ཀྲུམ་དོད			
ཀྲུམ་མདའ			
ཀྲུམས			
ཀྲེ་ནག			
ཀྲོང་ཀྲོང			6
ཀྲོང་ངེ་བ			4
ཀྲོང་རྩེ			
ཀླ་ཀློ			89
ཀླ་ཀློ་ཁ			
ཀླག			23
ཀླག་ཅོར			52
ཀླགས་པ			40
ཀླད			1164
ཀླད་ཀོར			103
ཀླད་ཁྱིམ			
ཀླད་གཞུངས			
ཀླད་གཟེར			29
ཀླད་ཆུང			
ཀླད་དོན			25
ཀླད་པ	OTHER		950
ཀླད་པ་དཀར་པོ			
ཀླད་པ་ལྗང་གུ			
ཀླད་པ་སྲབ་པོ			
ཀླད་པོ་ཆེ			
ཀླད་ཕོར			1
ཀླད་བྱི			
ཀླད་མ			1
ཀླད་མེད			1
ཀླད་ཞོ			
ཀླད་ཡུ་འཁོར			
ཀླད་རྒྱ			11
ཀླད་རྒྱས			47
ཀླད་རྩ			
ཀླད་རྩལ			
ཀླད་ཤུབས			
ཀླད་སྐྱོན			
ཀླད་སྒོ			
ཀླད་སྤྲི			
ཀླད་སྲིན			2
ཀླད་སྲིན་ནད			
