# form	pos	lemma	sense	freq
ཇི་སྙམ				
ཇི་སྙེད	OTHER			22
ཇི་ལྟ	ADJ			
ཇི་ལྟ་བུ་				
ཇི་ལྟར				
ཇི་ཙམ	PRON			
ཇི་བཞིན	OTHER			626
ཇི་སྲིད	PRON			12491
མཇུག	NOUN			8549
འཇམ	VERB			2574
འཇམ་དཔལ	PROPN			12647
འཇལ	VERB			
འཇིག	VERB			4975
འཇིག་རྟེན	NOUN			91116
འཇིགས	VERB			
འཇིམ				
འཇུག	VERB			25550
འཇུངས	VERB			
འཇེབས	VERB			
འཇོག	VERB			9978
རྗེ་དཔོན	NOUN			231
རྗེད				119
རྗེས	NOUN			141069
རྗེས་སུ	OTHER			
ལྗགས	NOUN			4182
ལྗང				2929
ལྗང་གུ				2281
ལྗང་བུ	OTHER			56
ལྗོན་ཤིང	NOUN			2628
བརྗིད				
བརྗེད	VERB			
བརྗོད	VERB			
ཉག་མ	ADJ			229
ཉན	VERB			
ཉན་ཐོས	NOUN			27491
ཉམ	NOUN			1849
ཉམ་ང	NOUN			
ཉམས	NOUN			59682
ཉི	NUM			2078
ཉི་མ	NOUN			22826
ཉི་ཚེ				
ཉི་ཤུ	NUM			18356
ཉི་ཤུ་ལྔ				
ཉི་ཤུ་གཅིག				
ཉི་ཤུ་གཉིས				
ཉི་ཤུ་རྩ་གཉིས				
ཉིང་མཚམས	NOUN			1440
ཉིང་ལག	OTHER			878
ཉིད	DET			381810
ཉིན	NOUN			9921
ཉུང	VERB			
ཉུང་ངུ	ADJ			659
ཉུངས་ཀར				
ཉེ	VERB			
ཉེ་དུ	NOUN			1926
ཉེ་བར				
ཉེར	NUM			16150
ཉོན	VERB			47270
ཉོན་མོངས	NOUN			17456
གཉའ	NOUN			
གཉའ་ཤིང	NOUN			323
གཉིས	NUM			
གཉིས་ཀ	OTHER			
གཉེན	NOUN			3768
གཉེན་པོ	NOUN			13119
གཉེན་མཚམས	NOUN			
གཉེར	VERB			
མཉན	VERB			
མཉམ	VERB			
མཉམ་ཉིད	NOUN			2238
མཉམ་པ་ཉིད	NOUN			
མཉེན	VERB			
མཉེས	VERB			4303
རྙེད	VERB			
སྙན	NOUN			4545
སྙན་དངགས	NOUN			650
སྙམ	VERB			
སྙིང	NOUN			36946
སྙིང་རྗེ	NOUN			19338
སྙིང་པོ	NOUN			35583
སྙེད	DET			20521
སྙོམས་པར				
བསྙད	VERB			
བསྙན				
བསྙེན	VERB			
བསྙེན་བཀུར	NOUN			4650
ཏ	OTHER			6851
ཏིང་ངེ་འཛིན	NOUN			
ཏིང་འཛིན	NOUN			10171
ཏིལ	NOUN			4284
ཏོག	NOUN			2793
གཏན	NOUN			20275
གཏམ	NOUN			9509
གཏི་མུག	NOUN			12986
གཏིང	NOUN			4580
གཏུགས	VERB			1793
གཏེར	NOUN			21337
གཏོགས	VERB			8451
གཏོང	VERB			
གཏོར	VERB			22577
གཏོས				149
བཏགས	VERB			
བཏང	VERB			
བཏབ	VERB			
བཏིང	VERB			
བཏེག	VERB			1212
རྟ	NOUN			18402
རྟ་ཅང་ཤེས				
རྟག	VERB			52163
རྟགས	NOUN			53957
རྟིང་པ				
རྟུལ	VERB			583
རྟུལ་པོ	ADJ			466
རྟེན	NOUN			53444
རྟོག	VERB			9338
རྟོག་གེ	NOUN			
རྟོགས	VERB			22351
ལྟ	NOUN			
ལྟ་སྟངས	NOUN			2186
ལྟ་བུ	NOUN			68275
ལྟག་ཆོད				491
ལྟར	OTHER			32
ལྟུང	VERB			
ལྟེ་བ	NOUN			8357
ལྟོ	NOUN			4084
ལྟོས	VERB			12600
སྟ	OTHER			
སྟ་གོན	NOUN			5278
སྟ་རེ	NOUN			194
སྟག	NOUN			4311
སྟག་མོ	NOUN			357
སྟག་ཚང	OTHER			202
སྟག་ཤམ				156
སྟན	NOUN			10406
སྟབས	NOUN			5252
སྟུག་པ				
སྟུག་པོ	ADJ			1024
སྟེང	NOUN			83119
སྟེངས	NOUN			
སྟེར	VERB			
སྟོང	NUM			83836
སྟོང་པ་ཉིད	NOUN			
སྟོང་ཕྲག	OTHER			499
སྟོང་ཕྲག་ཉི་ཤུ་ལྔ				
སྟོད	NOUN			3456
སྟོན	VERB			24767
སྟོབས	NOUN			
བརྟག	VERB			4748
བརྟགས	VERB			
བརྟན	VERB			
བརྟེན	VERB			
བལྟ	VERB			
བལྟས	VERB			
བསྟན	VERB			
བསྟན་བཅོས	NOUN			18014
བསྟེན	VERB			
བསྟོད	VERB			
ཐ	NOUN			18106
ཐ་དད	ADJ			
ཐ་མ	ADJ			14191
ཐ་མལ	ADJ			
ཐ་ཚིག	NOUN			1593
ཐ་ཤལ	ADJ			
ཐག	VERB			21925
ཐགས	NOUN			1157
ཐད	NOUN			5845
ཐབ				
ཐབ་ཁུང	NOUN			1425
ཐབ་མོ				
ཐབས	NOUN			58614
ཐམ				
ཐམས་ཅད	DET			447936
ཐར	VERB			
ཐལ	VERB			
ཐལ་ཁུང				
ཐིག	NOUN			4074
ཐིག་ལེ	NOUN			20378
ཐིགས	NOUN			
ཐིབས	VERB			
ཐུག	VERB			19693
ཐུགས	NOUN			68634
ཐུང	VERB			
ཐུང་ངུ	OTHER			191
ཐུན	NOUN			12827
ཐུན་མོང	ADJ			25959
ཐུབ	VERB			
ཐེག	VERB			833
ཐོ	NOUN			1759
ཐོག	NOUN			12628
ཐོགས	VERB			16395
ཐོད་རྒལ	OTHER			431
ཐོབ	VERB			50873
ཐོས	VERB			
མཐའ	NOUN			45097
མཐའ་དག	DET			13195
མཐིང				1785
མཐིང་ཤུན				
མཐིལ	NOUN			3040
མཐུ	NOUN			16478
མཐུག				62
མཐུན	VERB			
མཐེ་བོང	NOUN			2644
མཐོ	VERB			3309
མཐོང	VERB			67396
མཐོན				
འཐག	VERB			633
འཐད	VERB			
འཐབ	VERB			
འཐོབ	VERB			
འཐོར	VERB			
ད	ADV			62520
ད་ལྟ	OTHER			
དག	DET			440570
དང་པོ	ADJ			162718
དད	VERB			
དམ	PART			
དལ	NOUN			3287
དུ་མ	ADJ			16024
དུག	NOUN			21558
དུད་འགྲོ	NOUN			3630
དུར	NOUN			837
དུར་ཁྲོད	NOUN			16812
དུལ	VERB			
དུས	NOUN			188720
དེ	DET			
དེ་ཉིད	NOUN			1976
དེ་ལྟ་ན				
དེ་ལྟ་བས་ན				
དེ་ལྟར				
དེ་དག	OTHER			13
དེ་ནས				
དེ་བས་ན				
དེ་བཞིན་ཉིད	NOUN			
དེ་ཡང	ADV			
དེ་སྲིད	ADV			1
དེང	ADV			11639
དེང་སང	ADV			4734
དེད་དཔོན	NOUN			2793
དོ་ཤལ	OTHER			1369
དོག་				
དོན	NOUN			307198
དོན་དག	OTHER			16
དོར	VERB			7411
དྲག་པོ	ADJ			12251
དྲག་ཤུལ	NOUN			558
དྲང	VERB			
དྲན	VERB			
དྲི	NOUN			15192
དྲི་ཆབ				664
དྲིང	NOUN			658
དྲིན	NOUN			3159
དྲུག	NUM			
དྲུག་ཅུ	NUM			
དྲུག་པོ	NUM			
དྲུང	NOUN			20389
དྲེག	NOUN			339
དྲེགས	NOUN			
དྲེགས་པ	VERB			5369
དྲོ	NOUN			645
དྲོད	NOUN			7297
གདན	NOUN			25820
གདམས	NOUN			
གདམས་ངག	NOUN			13243
གདའ	VERB			1687
གདུ་གུ				2
གདུག་རྩུབ	OTHER			439
གདུགས	NOUN			6858
གདུང	NOUN			3738
གདུལ་བྱ	NOUN			9939
གདོང	NOUN			7670
བདག	PRON			255324
བདག་ཅག	PRON			
བདག་ཉིད	NOUN			17174
བདག་པོ	NOUN			14403
བདར	OTHER			
བདུད	NOUN			31976
བདུན	NUM			
བདུན་ཅུ				
བདུན་པོ	NUM			
བདེ	VERB			
བདེ་འགྲོ	NOUN			947
བདེ་བླག	ADJ			2174
བདེན	VERB			
བདོག	VERB			457
མདག				
མདག་མེ				
མདངས	NOUN			4541
མདའ	NOUN			7948
མདུང	NOUN			2845
མདུང་ཐུང	NOUN			212
མདུན	NOUN			47505
མདུན་ན་འདོན	NOUN			
མདོ	NOUN			28584
མདོ་སྡེ	NOUN			7052
མདོག	NOUN			10300
མདོམས				122
མདོར་ན				
འདབ	OTHER			
འདབ་ཆགས	OTHER			1065
འདབ་མ	NOUN			7054
འདམ་བུ	NOUN			182
འདའ	VERB			
འདས	VERB			
འདི	DET			532945
འདི་སྐད				
འདི་ལྟ་སྟེ				
འདི་ལྟར				
འདི་དག				2
འདི་འདྲ				
འདི་ཙམ				
འདུ	VERB			
འདུ་བྱེད	NOUN			17904
འདུ་འཛི	NOUN			920
འདུ་ཤེས	NOUN			24985
འདུག	VERB			28206
འདུན	VERB			1223
འདུས	VERB			45315
འདུས་བྱས	NOUN			4857
འདུས་མ་བྱས				
འདེབས	VERB			
འདོགས	VERB			
འདོང	VERB			
འདོད	VERB			
འདོད་ཆགས	NOUN			27035
འདོར	VERB			
འདྲ	VERB			
འདྲེས	VERB			
རྡུལ	NOUN			21467
རྡོ	NOUN			4378
རྡོ་རྗེ	NOUN			63072
རྡོག	NOUN			435
ལྡན	VERB			
ལྡེ་མིག	NOUN			721
ལྡོག	VERB			9520
སྡིག	NOUN			6381
སྡུག	VERB			13427
སྡུག་བསྔལ	NOUN			57495
སྡུད	VERB			
སྡེ	NOUN			17846
