# form	pos	lemma	sense	freq
ཀ་ཤི་སྨིར				
ཀ་ཤིམ་བ་ལ				
ཀ་ཤིས				
ཀ་ཤུ་ཀ				
ཀ་ཤུབས				
ཀ་ཤོ				
ཀ་ཤོ་ཀ་དྷ				
ཀ་ཤྭ་ཀམ་བྷ				
ཀ་ཤྱ་པ				
ཀ་ས				
ཀ་ས་ལི				
ཀ་སན་ཀ་ར				
ཀ་སི་ཁྲ་རོ				
ཀ་སུ་ར				
ཀ་སུལ				
ཀ་སེད				
ཀ་སོ་རི་བ				
ཀ་སྐེ				
ཀ་སྐེད				
ཀ་སྐོང་བ				
ཀ་སྐྱོར				
ཀ་སྒྲོག				
ཀ་སྒྲོགས				
ཀ་སྒྲོམ				1
ཀ་སྟུ་དྷ				
ཀ་སྟེགས				
ཀ་སྡེ				24
ཀ་སྡེར				
ཀ་སྤུངས				
ཀ་སྦུག				
ཀ་སྦྱོར་བཟུང				
ཀ་སྨད་སུམ་ཅུ				
ཀ་སྨད་སུམ་ཆུ				
ཀ་ཨ་ཀ				
ཀ་ཨ་ཀཱ་རི				
ཀ་ཨ་ཀི				
ཀ་ཨ་ཀི་ལ				
ཀ་ཨ་བོ་ཨ				
ཀ་ཨ་ཡ				
ཀ་ཨི་ལ་ཤ				
ཀ་ཨུ་ཀ				
ཀ་ཨུ་ནི				
ཀ་ཨུན་དི་ཉ				
ཀ་ཨོ་ར				
ཀཀནི་སྒོ་བཞི				
ཀཀྞི				
ཀཀྞི་སྒོ་བཞི				
ཀཀྞིའི་མཆོད་རྟེན				
ཀག				134
ཀག་ཀ་བ				
ཀག་ཀྱག་བྱེད				
ཀག་གིས				
ཀག་གེ་ཀོག་གེ				
ཀག་ཉེན་བཟློག་པ				
ཀག་ཏ་པ				
ཀག་ནིས་སྦྲེལ				
ཀག་མ				
ཀག་ལངས				
ཀག་སྲི				
ཀང་ཀ				19
ཀང་ཀ་མཆུ				
ཀང་ཀ་མུ་ཁ				
ཀང་ཀ་ར				
ཀང་ཀང				
ཀང་ཀའི་མཆུ				
ཀང་ཀའོ				
ཀང་ཀུའོ				
ཀང་ཆིན				
ཀང་དང་ཀིང				
ཀང་དྲ				
ཀང་བྱ				
ཀང་ཚ་རང་ག				
ཀང་ར				
ཀང་ལིང				
ཀང་སྐྲ་ཅན				
ཀཉཙ				
ཀཉཙ་ཐ				
ཀཉྩི				
ཀཉྩི་པུ་ར				
ཀཋ་མཎྚ				
ཀཎ་ཊ་ཀཱ་རི				
ཀཎ་ཊ་ཤམ་ཀ				
ཀཎཊ				
ཀཎཊ་ནི་ལ				
ཀཎཊ་རི				
ཀཎཌ་བྷཱུ་ཥ				
ཀཎཌ་ཤཾ་ཀ				
ཀཎཌི་ཀ་ར				
ཀཏ་པཱུ་རཾ				
ཀཏ་པུར་འཛག				
ཀཏ་བུ་ར				
ཀཏཔུར				
ཀཏྤཱུ་ར				
ཀཏྱ་ཡ་ན				
ཀད				
ཀད་ཀད				
ཀད་ནི་ཌི				
ཀན				1242
ཀན་ཁྲང				
ཀན་གཡས				
ཀན་གཡོན				
ཀན་གྲུའུ་མཁར				
ཀན་ཉ་ཀུབ་ཛ				
ཀན་ཏ				
ཀན་ཏ་ཀ་རི				
ཀན་ཏའོ				
ཀན་ཏུར				
ཀན་ད་ཀ་རི				
ཀན་དྷི				
ཀན་དྷེ				
ཀན་ནའ་ཌ				
ཀན་ནི་ཀ				
ཀན་བ				
ཀན་མ				
ཀན་ཙི				
ཀན་ཚལ				
ཀན་ཚི				
ཀན་ཟུ				
ཀན་འོག				
ཀན་ཡིའུ				
ཀན་རྩ				
ཀན་ལྷོ				
ཀན་ཤུས				
ཀན་སི་ཏམ				
ཀན་སུ				
ཀན་སུའུ				
ཀནཏི་ད་ཡ་ཀཾ				
ཀནད་ཀ་རི				
ཀནད་ར་ལ				
ཀཔིལབསྟུ				
ཀབ་ཀོབ				1
ཀབ་ཀོབ་པ				
ཀབ་ཚེ་པ				
ཀབ་ཟ				
ཀབ་ཤ				
ཀམ				
ཀམ་ཀ				
ཀམ་ཀམ				
ཀམ་ཀམ་ཙིག་ཙིག				
ཀམ་ཀུམ				
ཀམ་ཀེམ				
ཀམ་གྱིས་བཏང				
ཀམ་པ				34
ཀམ་པ་ནི				
ཀམ་པ་ལི				
ཀམ་པུ་ཊར				
ཀམ་པོ་གནས་ནང				
ཀམ་པོ་ཊི་ཡ				
ཀམ་པོ་ཙེ་གླིང				
ཀམ་པོ་ཛི				
ཀམ་པོ་རྩེ				
ཀམ་བི་ལ				
ཀམ་བོ་ཛ				
ཀམ་བོ་ཛི་ཀ				
ཀམ་མི་ཀུམ་མི				
ཀམ་མེ་ཀེམ་མེ				
ཀམ་མེ་ཀོམ་མེ				
ཀམ་ཚང	OTHER			2
ཀམ་རག				
ཀམ་སྤྱོད་བཟོ་པ				
ཀམས་ཀམས				
ཀམྦོ་ཇ				
ཀའན་སུ				
ཀའི་ཐོག་པ				
ཀའི་རོ				
ཀའུ				
ཀའུ་ཀ་རི				
ཀའུ་ནི				
ཀའུ་བེ་ར				
ཀའུ་རིང་བསྲེལ				
ཀའུ་རྔ				
ཀའུ་ལི་དཀར་པོ				
ཀའུ་ཤི་ཀ				
ཀའུ་སུགས་སུ				
ཀའུ་སུས་སུ				
ཀའུ་ཧི				
ཀའུ་ཧིའི་རྒྱལ་ཁམས				
ཀའུ་ཧིས				
ཀའོ་ཀང				
ཀའོ་ཅིའི་མུའུ་ཀུའུ				
ཀའོ་མུ་ཨར་ཁ				
ཀའོ་ལེ				
ཀའོ་ཤུན				
ཀའོང་ཁྲའོ				
ཀའོང་ཨའན				
ཀཡE་རྡོ་རྗེ				
ཀར				819
ཀར་ཀ་ཊ་ན				
ཀར་ཀ་ཏ				
ཀར་ཀ་ཏའི་ཁྱིམ				
ཀར་ཀ་ཏཱི				
ཀར་ཀར				
ཀར་ཀར་བ				
ཀར་ཀར་ཟུག་ལངས				
ཀར་ཀེ་ཏ				
ཀར་ཀོར				
ཀར་གྱིས་ཕྲུག				
ཀར་གྱིས་ཟུག				
ཀར་ང་ཀ་ལ				
ཀར་ཆག				
ཀར་ཎ་ཀཱ				
ཀར་ཏི་ཀ				
ཀར་ཏི་སྒང				
ཀར་དྲུག				
ཀར་ན་ཀཱ				
ཀར་ན་ནང				
ཀར་ནི་ཀ				
ཀར་བ				
ཀར་བཀའ་བརྒྱུད་པ				
ཀར་བརྒྱུད				10
ཀར་བེའུ				
ཀར་བོན་རྒྱུན་འཁོར				
